Employee_no,Surname,Given_name,Gender,City,Age,Year_joined,Phone_no,Social_insurance_no
1,Gutierrez,Molly,F,Burnaby,39,2004,9026920815,189589609
2,Hardwick,Stephen,M,Courtenay,42,2009,2049381757,667407401
3,Delgado,Chester,M,Richmond,29,2017,2045451158,979442405
4,Simon,Irene,F,Victoria,25,2015,4161362237,577298933
5,Delvalle,Edward,M,New Westminster,37,2016,6042473139,826378764
6,Jones,Ernie,M,Richmond,44,2004,9027857807,293221001
7,Buford,Ralph,M,Vancouver,45,2010,4181145388,395744671
8,Lee,Gregory,M,Sechelt,45,2007,6138896163,296325855
9,Smith,Jerry,M,New Westminster,27,2004,9026869153,173968764
10,Beard,Robert,M,Vancouver,35,2012,6136467764,267617920
11,Mathis,John,M,New Westminster,29,2004,6044209792,594810563
12,Barajas,John,M,Kamloops,32,2003,4188306127,180574127
13,Leonard,James,M,North Vancouver,44,2017,4187038997,392220175
14,Davis,Janet,F,Vananda,31,2014,4183582238,141384887
15,Bell,Thomas,M,Vancouver,25,2006,4163534117,413537133
16,Combs,Danny,M,Vancouver,37,2016,6043991392,542962583
17,Vivanco,Anne,F,Vancouver,39,2012,4189955398,488731778
18,Craig,Bobbie,F,West Vancouver,40,2016,4031418316,999473603
19,Jones,Ilona,F,New Westminster,44,2015,2044598124,663076047
20,Watkins,Jan,F,Vancouver,43,2006,6133811025,872351963
21,Callaway,Jesus,M,Burnaby,43,2016,4037307872,988332091
22,Hammett,Josephine,F,New Westminster,38,2012,9022149479,276285396
23,Jarman,Sandra,F,Vancouver,48,2010,6133805350,643745109
24,Butler,Jennifer,F,Victoria,33,2018,5143786092,866650201
25,Simons,Larry,M,Nanaimo,30,2008,6047536693,444979686
26,Mason,Penny,F,Aldergrove,33,2007,4036085771,172478764
27,Burton,Theodore,M,Kelowna,48,2002,4036581524,938721686
28,Hunt,Joseph,M,Trail,26,2015,4032971186,844746358
29,Loiselle,Thomas,M,Vancouver,35,2018,3061141879,516057976
30,Nguyen,William,M,Aldergrove,37,2009,4186573912,704644307
31,Schrupp,James,M,Penticton,48,2012,6046136646,190781411
32,Donaldson,Adriana,F,Vancouver,45,2009,2049601623,114419862
33,Thompson,Felipe,M,Duncan,34,2002,4186864674,438469908
34,Livingston,Lester,M,Kelowna,43,2004,6043304529,947297327
35,Ashley,Emma,F,Crawford Bay,46,2014,5146088419,991074271
36,Davis,Jeffery,M,Vancouver,28,2003,3069175117,634963274
37,Farris,Augustina,F,Courtenay,39,2004,5148076392,680655105
38,Colman,Katherine,F,Port Hardy,38,2003,4033654490,602181392
39,Martin,Daniel,M,Kelowna,34,2016,4162828137,409063277
40,Atencio,Morris,M,Logan Lake,36,2012,3063806176,383140365
41,Harrod,Gloria,F,Abbotsford,41,2007,5144543332,750097603
42,Bell,Angelo,M,Dawson Creek,33,2017,3061431137,279026363
43,Kelley,Virginia,F,Burnaby,38,2010,3066022484,633860828
44,Turner,Stephen,M,Surrey,43,2005,6049881530,949632964
45,Mortimer,Cecilia,F,Victoria,39,2006,6041133710,172599905
